peso,altura,velocidad,color
7.2,50,10.3,Blanco
8.5,66,10.3,Amarillo
9.8,73,10.2,Verde
6.5,72,16.4,Verde
7.5,81,18.8,Verde
10.1,73,19.7,Verde
11,66,15.6,Blanco
11.1,75,21.2,Amarillo
11.2,70,,Blanco
11.3,69,19.9,Amarillo
11.4,76,24.2,Blanco
11.4,76,21,Verde
11.7,69,21.4,Verde
12,75,21.3,Amarillo
12.9,64,22.2,Amarillo
12.9,55,,Blanco
10.3,76,33.8,Amarillo
9.7,71,27.4,Verde
10.8,64,25.7,Verde
11,78,24.9,Amarillo
10.2,70,23.1,Verde
10.5,74,31.7,Verde
6.5,72,36.3,Verde
6.3,77,38.3,Blanco
7.3,51,42.6,Blanco
7.5,62,,Blanco
7.9,60,55.4,Amarillo
8.2,70,58.3,Verde
